misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,pred_accuracy
1060,381960,391,-0.32849136,0.974355685710907,0.004094091057777405,0.06051102994242683,0.0
1080,389160,392,-0.7879515700000002,0.7660551846027375,-0.0017986467923037709,0.08669354692101479,0.0
1100,396360,392,-0.7132462700000002,0.842619925737381,-0.0017814971506595612,0.09749330393970013,0.0
1120,403560,392,-0.9972078500000001,0.8245826244354248,-0.005807814002037048,0.029849187284708024,0.0
1140,410760,392,-0.9664379599999999,0.49011342227458954,-0.005598418042063713,0.2170043360441923,0.0
1160,417960,392,-0.3363624500000001,0.5175036519765854,-0.0009199634194374084,0.10635950537398457,0.0
1180,425160,392,-0.6361735900000001,0.47647219598293306,7.106848061084747e-05,0.12278162222355604,0.0
1200,432360,392,-0.41646132,0.40851390510797503,-0.0006840851157903672,0.12847966849803924,0.0
1220,439560,392,0.18600964,0.5347887724637985,-0.001333092525601387,0.13319847993552686,0.0
1240,446760,392,-0.35365264000000013,0.6955421268939972,-0.004363045119680465,0.05554609238170087,0.0
1260,453960,392,-1.09202872,0.8019013047218323,-0.005025053024291992,0.038095326349139216,0.0
1280,461160,393,-1.3194451900000002,0.5917921632528305,-1.4670193195343018e-05,0.0989652305841446,0.0
1300,468360,393,-0.6590379299999999,0.36051022112369535,-0.0017632722505368293,0.2809380829334259,0.0
1320,475560,393,-0.09789021999999999,0.4436239659786224,-0.00104735866189003,0.14184797033667565,0.0
1340,482760,393,-0.6850488699999999,0.417244179546833,-0.0013155497610569,0.04917824333533645,0.0
1360,489960,393,-0.76827449,0.5189669370651245,-0.0008587270975112915,0.19123574197292328,0.0
1380,497160,393,-1.00057119,0.6721337914466858,-0.0011113889515399933,0.15044696293771267,0.0
1400,504360,394,-1.0797574600000002,0.8812172114849091,-0.0007177565246820449,0.008199527207762004,0.0
1420,511560,394,-0.8307687899999999,0.5933921307325363,-0.0024994762614369394,0.1385979311540723,0.0
1440,518760,394,-0.8783753900000001,0.8227443099021912,-0.0019572675228118896,0.12348468266427517,0.0
1460,525960,394,-0.7406282300000001,0.7017474144697189,-0.0009639427065849304,0.09100696910172701,0.0
1480,533160,394,-1.0054598000000001,0.7292025566101075,-0.006471593677997589,0.06422819159924983,0.0
1500,540360,394,-0.45070936000000006,0.3512677505612373,-0.004099912755191326,0.13140931986272336,0.0
1520,547560,394,-0.42383477999999997,0.5098354667425156,-0.0019009488634765149,0.11593780927360058,0.0
1540,554760,395,-0.11937365999999998,0.5630448490381241,-0.00014658719301223754,0.1677688717842102,0.0
1560,561960,395,-0.6915037599999999,0.9880851924419403,-0.003972244262695312,0.02558951824903488,0.0
1580,569160,395,-1.65776326,0.8121127605438232,-0.0026146650314331056,0.01289075007662177,0.0
1600,576360,395,-1.46531419,0.8434359610080719,-0.001695561408996582,0.09917839411646127,0.0
1620,583560,395,-1.14112107,0.9056097269058228,-0.0008661463856697082,0.14205129028996452,0.0
1640,590760,395,-1.13138443,0.6929292738437652,-0.0037228256464004517,0.2219312809407711,0.0
1660,597960,395,-0.42991784000000005,0.9076023578643799,-0.0025175709277391435,0.08060392644256353,0.0
1680,605160,396,-0.54589955,0.8484736919403076,-0.001969899982213974,0.06427502240985632,0.0
1700,612360,396,-1.12376663,0.7629194736480713,-0.0006015315651893616,0.1366942126303911,0.0
1720,619560,396,-0.66017393,0.7303356289863586,-0.0003711603581905365,0.06304269778192975,0.0
1740,626760,396,-0.47209939000000006,0.6867625415325165,-0.006736728269606829,0.10169522482901812,0.0
1760,633960,396,-0.14893129000000005,0.8557569861412049,-0.009166558552533389,0.06008241991512477,0.0
1780,641160,396,-0.57082704,0.7651956498622894,-0.0038095362484455108,0.02292280402034521,0.0
1800,648360,396,-0.6047077599999998,0.6898068606853485,-0.0023848220705986025,0.23676265627145768,0.0
1820,655560,396,-0.2949205200000001,0.39835202395915986,0.001570940390229225,0.20254240930080414,0.0
1840,662760,396,-0.017872680000000033,0.5251176178455352,-0.004267184622585773,0.14771111607551574,0.0
1860,669960,396,-0.14181693999999997,0.7323467075824738,-0.0033177971839904786,0.16998192965984343,0.0
1880,677160,396,-0.17353745,0.4611800998449326,-0.0007435031235218048,0.13679270222783088,0.0
1900,684360,396,-0.51390722,0.5419937938451767,0.0006729595363140107,0.17009394839406014,0.0
1920,691560,396,-0.68075923,0.855376559495926,-0.0015509342774748802,0.09702647551894188,0.0
1940,698760,396,-0.7307136999999999,0.8008843779563903,-0.0030997357796877624,0.12732589654624463,0.0
1960,705960,396,-0.6843054399999999,0.9113029718399048,-0.004933783411979675,0.029932843055576086,0.0
1980,713160,396,-1.04558025,0.806349802017212,-0.0022096406668424607,0.004985611513257026,0.0
2000,720360,396,-0.7392631199999999,0.7478254675865174,-0.0009808436036109925,0.15672812908887862,0.0
2020,727560,396,-0.56756948,0.6937555193901062,-1.7052050679922104e-05,0.1602615848183632,0.0
2040,734760,396,-0.59561379,0.6620963722467422,-0.0019870657473802567,0.1093514807522297,0.0
